Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Brand_Name,Ticker,Industry_Tag,Country
2023-09-20 00:00:00-04:00,100.0500031,100.9000015,98.98000336,98.98999786,2455100,0.0,0.0,3m,MMM,manufacturing,usa
2023-09-20 00:00:00-04:00,88.51999664,89.75,88.33999634,88.41999817,29900,0.0,0.0,adidas,ADDYY,apparel,germany
2023-09-20 00:00:00-04:00,541.6900024,548.8499756,535.7299805,535.7800293,2626000,0.0,0.0,adobe,ADBE,technology,usa
2023-09-20 00:00:00-04:00,142.7599945,143.2700043,137.9499969,138.0099945,5189000,0.0,0.0,airbnb,ABNB,hospitality,usa
2023-09-20 00:00:00-04:00,138.5500031,139.3699951,135.1999969,135.2899933,46263700,0.0,0.0,amazon,AMZN,e-commerce,usa
2023-09-20 00:00:00-04:00,102.3600006,103.9400024,100.2799988,100.3399963,55180600,0.0,0.0,amd,AMD,technology,usa
2023-09-20 00:00:00-04:00,14.5,14.75,14.5,14.60000038,3690200,0.0,0.0,american eagle outfitters,AEO,apparel,usa
2023-09-20 00:00:00-04:00,160.0,160.1999969,156.8800049,157.2299957,1969700,0.0,0.0,american express,AXP,finance,usa
2023-09-20 00:00:00-04:00,179.2599945,179.6999969,175.3999939,175.4900055,58436200,0.0,0.0,apple,AAPL,technology,usa
2023-09-20 00:00:00-04:00,49.99000168,50.06000137,47.52000046,47.56999969,15313500,0.0,0.0,block,SQ,financial services,usa
2023-09-20 00:00:00-04:00,105.0,105.0,105.0,105.0,300,0.0,0.0,bmw group,BAMXF,automotive,germany
2023-09-20 00:00:00-04:00,1920.0,1939.829956,1919.949951,1920.47998,130100,0.0,0.0,chipotle,CMG,food,usa
2023-09-20 00:00:00-04:00,55.95000076,56.04999924,55.43999863,55.5,12219900,0.0,0.0,cisco,CSCO,technology,usa
2023-09-20 00:00:00-04:00,78.62000275,80.58999634,76.55999756,76.66999817,5459200,0.0,0.0,coinbase,COIN,cryptocurrency,usa
2023-09-20 00:00:00-04:00,73.47000122,73.94999695,73.02999878,73.76000214,4212100,0.0,0.0,colgate palmolive,CL,consumer goods,usa
2023-09-20 00:00:00-04:00,564.3499756,569.2199707,562.6599731,563.8300171,1311500,0.0,0.0,costco,COST,retail,usa
2023-09-20 00:00:00-04:00,90.06999969,90.69999695,87.88999939,87.94000244,910600,0.0,0.0,crocs,CROX,footwear,usa
2023-09-20 00:00:00-04:00,39.77000046,39.86999893,38.77000046,38.88000107,7000200,0.0,0.0,delta air lines,DAL,aviation,usa
2023-09-20 00:00:00-04:00,251.6499939,254.1799927,250.1699982,250.5200043,4014600,0.0,0.0,fedex,FDX,logistics,usa
2023-09-20 00:00:00-04:00,18.39999962,18.53000069,17.87999916,17.88999939,2585300,0.0,0.0,foot locker,FL,footwear,usa
