date,CDN.AVG.3YTO5Y.AVG
2018-09-21 04:00:00+00:00,1.58
2018-09-21 04:00:00+00:00,1.57
2018-09-21 04:00:00+00:00,1.58
2018-09-21 04:00:00+00:00,1.61
2018-09-21 04:00:00+00:00,1.6
2018-09-21 04:00:00+00:00,1.57
2018-09-21 04:00:00+00:00,1.59
2018-09-21 04:00:00+00:00,1.64
2018-09-21 04:00:00+00:00,1.61
2018-09-21 04:00:00+00:00,1.64
2018-09-21 04:00:00+00:00,1.66
2018-09-21 04:00:00+00:00,1.62
2018-09-21 04:00:00+00:00,1.62
2018-09-21 04:00:00+00:00,1.57
2018-09-21 04:00:00+00:00,1.5
2018-09-21 04:00:00+00:00,1.54
2018-09-21 04:00:00+00:00,1.53
2018-09-21 04:00:00+00:00,1.56
2018-09-21 04:00:00+00:00,1.55
2018-09-21 04:00:00+00:00,1.56
2018-09-21 04:00:00+00:00,1.62
2018-09-21 04:00:00+00:00,1.63
2018-09-21 04:00:00+00:00,1.6
2018-09-21 04:00:00+00:00,1.56
2018-09-21 04:00:00+00:00,1.57
2018-09-21 04:00:00+00:00,1.57
2018-09-21 04:00:00+00:00,1.62
2018-09-21 04:00:00+00:00,1.56
2018-09-21 04:00:00+00:00,1.59
2018-09-21 04:00:00+00:00,1.55
2018-09-21 04:00:00+00:00,1.57
2018-09-21 04:00:00+00:00,1.59
2018-09-21 04:00:00+00:00,1.66
2018-09-21 04:00:00+00:00,1.63
2018-09-21 04:00:00+00:00,1.55
2018-09-21 04:00:00+00:00,1.52
2018-09-21 04:00:00+00:00,1.5
2018-09-21 04:00:00+00:00,1.49
2018-09-21 04:00:00+00:00,1.48
2018-09-21 04:00:00+00:00,1.47
2018-09-21 04:00:00+00:00,1.38
2018-09-21 04:00:00+00:00,1.31
2018-09-21 04:00:00+00:00,1.34
2018-09-21 04:00:00+00:00,1.31
2018-09-21 04:00:00+00:00,1.34
2018-09-21 04:00:00+00:00,1.35
2018-09-21 04:00:00+00:00,1.42
2018-09-21 04:00:00+00:00,1.43
2018-09-21 04:00:00+00:00,1.4
2018-09-21 04:00:00+00:00,1.35
2018-09-21 04:00:00+00:00,1.34
2018-09-21 04:00:00+00:00,1.34
2018-09-21 04:00:00+00:00,1.33
2018-09-21 04:00:00+00:00,1.34
2018-09-21 04:00:00+00:00,1.34
2018-09-21 04:00:00+00:00,1.38
2018-09-21 04:00:00+00:00,1.35
2018-09-21 04:00:00+00:00,1.34
2018-09-21 04:00:00+00:00,1.41
2018-09-21 04:00:00+00:00,1.39
2018-09-21 04:00:00+00:00,1.41
2018-09-21 04:00:00+00:00,1.42
2018-09-21 04:00:00+00:00,1.42
2018-09-21 04:00:00+00:00,1.46
2018-09-21 04:00:00+00:00,1.56
2018-09-21 04:00:00+00:00,1.6
2018-09-21 04:00:00+00:00,1.58
2018-09-21 04:00:00+00:00,1.54
2018-09-21 04:00:00+00:00,1.57
2018-09-21 04:00:00+00:00,1.54
2018-09-21 04:00:00+00:00,1.52
2018-09-21 04:00:00+00:00,1.52
2018-09-21 04:00:00+00:00,1.47
2018-09-21 04:00:00+00:00,1.42
2018-09-21 04:00:00+00:00,1.43
2018-09-21 04:00:00+00:00,1.41
2018-09-21 04:00:00+00:00,1.42
2018-09-21 04:00:00+00:00,1.39
2018-09-21 04:00:00+00:00,1.4
2018-09-21 04:00:00+00:00,1.42
2018-09-21 04:00:00+00:00,1.44
2018-09-21 04:00:00+00:00,1.47
2018-09-21 04:00:00+00:00,1.49
2018-09-21 04:00:00+00:00,1.4
2018-09-21 04:00:00+00:00,1.39
2018-09-21 04:00:00+00:00,1.26
2018-09-21 04:00:00+00:00,1.25
2018-09-21 04:00:00+00:00,1.28
2018-09-21 04:00:00+00:00,1.31
2018-09-21 04:00:00+00:00,1.25
2018-09-21 04:00:00+00:00,1.3
2018-09-21 04:00:00+00:00,1.26
2018-09-21 04:00:00+00:00,1.2
2018-09-21 04:00:00+00:00,1.24
2018-09-21 04:00:00+00:00,1.27
2018-09-21 04:00:00+00:00,1.25
2018-09-21 04:00:00+00:00,1.32
2018-09-21 04:00:00+00:00,1.37
2018-09-21 04:00:00+00:00,1.27
2018-09-21 04:00:00+00:00,1.3
2018-09-21 04:00:00+00:00,1.23
2018-09-21 04:00:00+00:00,1.23
2018-09-21 04:00:00+00:00,1.24
2018-09-21 04:00:00+00:00,1.25
2018-09-21 04:00:00+00:00,1.19
2018-09-21 04:00:00+00:00,1.19
2018-09-21 04:00:00+00:00,1.32
2018-09-21 04:00:00+00:00,1.36
2018-09-21 04:00:00+00:00,1.41
2018-09-21 04:00:00+00:00,1.48
2018-09-21 04:00:00+00:00,1.47
2018-09-21 04:00:00+00:00,1.49
2018-09-21 04:00:00+00:00,1.53
2018-09-21 04:00:00+00:00,1.52
2018-09-21 04:00:00+00:00,1.5
2018-09-21 04:00:00+00:00,1.48
2018-09-21 04:00:00+00:00,1.49
2018-09-21 04:00:00+00:00,1.45
2018-09-21 04:00:00+00:00,1.43
2018-09-21 04:00:00+00:00,1.37
2018-09-21 04:00:00+00:00,1.46
2018-09-21 04:00:00+00:00,1.43
2018-09-21 04:00:00+00:00,1.43
2018-09-21 04:00:00+00:00,1.44
2018-09-21 04:00:00+00:00,1.4
2018-09-21 04:00:00+00:00,1.37
2018-09-21 04:00:00+00:00,1.28
2018-09-21 04:00:00+00:00,1.28
2018-09-21 04:00:00+00:00,1.33
2018-09-21 04:00:00+00:00,1.32
2018-09-21 04:00:00+00:00,1.35
2018-09-21 04:00:00+00:00,1.42
2018-09-21 04:00:00+00:00,1.55
2018-09-21 04:00:00+00:00,1.6
2018-09-21 04:00:00+00:00,1.58
2018-09-21 04:00:00+00:00,1.6
2018-09-21 04:00:00+00:00,1.57
2018-09-21 04:00:00+00:00,1.59
2018-09-21 04:00:00+00:00,1.56
2018-09-21 04:00:00+00:00,1.55
2018-09-21 04:00:00+00:00,1.57
2018-09-21 04:00:00+00:00,1.59
2018-09-21 04:00:00+00:00,1.66
2018-09-21 04:00:00+00:00,1.64
2018-09-21 04:00:00+00:00,1.48
2018-09-21 04:00:00+00:00,1.44
2018-09-21 04:00:00+00:00,1.48
2018-09-21 04:00:00+00:00,1.55
2018-09-21 04:00:00+00:00,1.6
2018-09-21 04:00:00+00:00,1.55
2018-09-21 04:00:00+00:00,1.6
2018-09-21 04:00:00+00:00,1.57
2018-09-21 04:00:00+00:00,1.58
2018-09-21 04:00:00+00:00,1.55
2018-09-21 04:00:00+00:00,1.5
2018-09-21 04:00:00+00:00,1.51
2018-09-21 04:00:00+00:00,1.5
2018-09-21 04:00:00+00:00,1.48
2018-09-21 04:00:00+00:00,1.46
2018-09-21 04:00:00+00:00,1.52
2018-09-21 04:00:00+00:00,1.53
2018-09-21 04:00:00+00:00,1.53
2018-09-21 04:00:00+00:00,1.5
2018-09-21 04:00:00+00:00,1.54
2018-09-21 04:00:00+00:00,1.53
2018-09-21 04:00:00+00:00,1.51
2018-09-21 04:00:00+00:00,1.56
2018-09-21 04:00:00+00:00,1.5
2018-09-21 04:00:00+00:00,1.58
2018-09-21 04:00:00+00:00,1.63
2018-09-21 04:00:00+00:00,1.61
2018-09-21 04:00:00+00:00,1.62
2018-09-21 04:00:00+00:00,1.62
2018-09-21 04:00:00+00:00,1.61
2018-09-21 04:00:00+00:00,1.67
2018-09-21 04:00:00+00:00,1.6
2018-09-21 04:00:00+00:00,1.65
2018-09-21 04:00:00+00:00,1.66
2018-09-21 04:00:00+00:00,1.7
2018-09-21 04:00:00+00:00,1.68
2018-09-21 04:00:00+00:00,1.64
2018-09-21 04:00:00+00:00,1.66
2018-09-21 04:00:00+00:00,1.64
2018-09-21 04:00:00+00:00,1.63
2018-09-21 04:00:00+00:00,1.66
